Name,LatestVersion,Hostname,Username,CaughtInProcess,FileSource,PackagedAppMatch,PackagedAppMatchScore,PackagedAppCompatible,WingetMatchName,WingetMatchScore,WingetCompatible,DenoisedName,DenoisedScore,IsNoise,Category
microsoft photos,2019.19071.12540.00000,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,microsoft.photos,0.9518,True,Windows Default Applications
msedge,135.0.3179.73,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,msedge,1.0,True,Browsers
textinputhost,124.26100.0.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,textinputhost,1.0,True,System Processes
onedrive,25.065.0406.0002,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,microsoft onedrive              microsoft.onedrive                 25.031.0217.0â€¦ winget,0.7966,True,onedrive,1.0,True,Cloud Storage
filecoauth,25.056.0324.0003,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
onedrivestandaloneupdater,25.051.0317.0003,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,microsoft onedrive              microsoft.onedrive                 25.031.0217.0â€¦ winget,0.695,True,microsoft onedrive,0.6902,True,Product Updates
acrord32,25.1.20432.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Adobe Acrobat Products
rdrcef,25.1.20432.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Browser Add-ins
officeclicktorun,16.0.18025.20214,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,op auto clicker                 opautoclicker.opautoclicker        3              winget,0.6092,True,officeclicktorun,1.0,True,Microsoft Office Tools
lync,16.0.18025.20214,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,lync-2013-15-0-4615-1000-r2,0.7287,True,NOMATCH,0.0,False,lync,1.0,True,Communication
sdxhelper,16.0.18025.20214,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
officec2rclient,16.0.18025.20214,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
fcags,11.10.200.16,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
fcagswd,11.10.200.16,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
fcag,11.10.200.16,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Microsoft Office Add-Ons
fsprocsvc,11.3.12.0011,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,fsprocsvc,1.0,True,Microsoft Office Add-Ons
uevappmonitor,10.0.19041.1,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,uevappmonitor,1.0,True,Microsoft Office Add-Ons
snowagent,6.7.1+build-BUILD_DATE-rev-BUILD_REVISION,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,snowagent,1.0,True,Security
hp3ddgservice,6.0.22.1,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,hp3ddgservice,1.0,True,Hardware Driver
wscript,5.812.10240.16384,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,wscript,1.0,True,Windows Default Processes
macmnsvc,5.8.1.313,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,macmnsvc,1.0,True,System Processes
macompatsvc,5.8.1.313,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,macompatsvc,1.0,True,System Processes
masvc,5.8.1.313,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,masvc,1.0,True,System Processes
mfemactl,5.8.1.313,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,mfemactl,1.0,True,Security
updaterui,5.8.1.313,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,updaterui,1.0,True,Updates
rl,5.4.4.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,System Utilities
ccmexec,5.00.9128.1007,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,ccmexec,1.0,True,System Utilities
cmrcservice,5.00.9128.1007,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,cmrcservice,1.0,True,System Processes
scnotification,5.0.9128.1007,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,scnotification,1.0,True,System Utilities
csc ui,5.0.00889,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,csc_ui,0.9057,True,System Utilities
scpservice,4.9.3.92,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,mcpservice,0.6696,True,System Processes
sftlist,4.6.3.25261,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,sftlist,1.0,True,System Utilities
sftvsa,4.6.3.25261,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,sftvsa,1.0,True,System Utilities
sftdcc,4.6.3.25261,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,sftdcc,1.0,True,System Utilities
pwdmgmtproxy,4.1.3766.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,pwdmgmtproxy,1.0,True,Security
sensendr,4.0.0.12,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,sensendr,1.0,True,System Utilities
updater,3.8.0.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,updaterui,0.6111,True,Updates
sensecm,2.1030.0.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,sensetvm,0.6517,True,System Utilities
nvwmi64,2.31.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Hardware Utilities
mbamagent,2.5.1152.0,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,mbamagent,1.0,True,System Utilities
mctray,2.2.0.4696,DummyUser1,DummyHost1,Yes,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,mctray,1.0,True,System Utilities
trellix data exchange layer for ta,6.0.31021.0,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,trellix data exchange layer for ta,1.0,True,Security
realtek high definition audio driver,6.0.1.7592,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,realteksemiconductorcorp.hpaudiocontrol,0.6401,True,Hardware Driver
mimaki rasterlinkpro5 sg,5.48.050,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,NOMATCH,0.0,False,Developer Add-Ins
trellix agent,5.8.1002,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,trellix agent,1.0,True,Security
configuration manager client,5.00.9128.1000,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,configuration manager client,1.0,True,System Utilities
cisco secure client anyconnect vpn,5.0.4032,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,cisco secure client - anyconnect vpn,0.9957,True,VPN
cisco secure client diagnostics and reporting tool,5.0.4032,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,cisco secure client - diagnostics and reporting tool,0.9971,True,Reporting
cisco secure client secure firewall posture,5.0.04032,DummyUser1,DummyHost1,No,DummyUser1_merged.csv,NOMATCH,0.0,False,NOMATCH,0.0,False,cisco secure client - secure firewall posture,0.9922,True,Security
